CB_mean,CC_mean,CT_mean,FC_mean,FN_mean,SRT_mean,math_mean,shult_mean,sleep_score
668.6,441.5,873.1,855.8,888.7,351.0,1300.0,10461.2,85
676.3,457.8,927.6,780.1,986.7,352.0,1139.9,7962.6,83
581.1,411.6,907.6,831.5,748.6,337.5,1462.0,10301.8,77
609.4,344.4,975.2,884.6,918.0,395.1,1375.6,9407.3,69
830.2,394.5,876.9,870.3,941.3,417.5,1417.4,10819.1,70
603.3,374.2,1102.0,1069.3,944.1,389.6,1529.2,10095.1,67
626.0,383.5,774.0,861.4,1007.8,362.2,1513.0,9500.4,76
646.4,393.4,738.0,908.0,946.6,327.5,1351.8,9626.1,74
529.3,371.3,760.9,949.2,900.9,345.8,1435.3,9858.8,77
803.0,500.8,1136.7,1193.6,1266.3,595.5,1941.0,12680.3,69
845.6,509.9,1233.4,1268.2,1244.7,678.3,1765.1,12944.9,67
715.8,502.8,1290.4,1213.1,1264.4,553.3,1931.6,11426.1,70
778.2,378.9,1153.5,869.8,1077.9,394.3,1446.2,8998.0,80
701.1,394.8,1040.8,947.1,1128.6,373.1,1375.8,10127.0,79
751.4,374.0,991.7,867.1,1023.5,487.9,1261.2,9456.0,80
