index,sleep_score,sleep_duration,REM_fraction,Light_fraction,pulse,breath_score,kkal,steps,time_warm_up,time2sleep,time2wake
1,69,7.3,9,58,67,95,257,1654,0,1.3,9.0
2,61,4.4,13,69,68,95,336,4124,1,22.5,3.3
3,76,11.3,9,49,74,93,485,14862,2,20.59,8.29
4,83,8.34,11,52,75,93,1226,21964,25,23.29,8.03
5,74,10.05,9,56,81,93,1330,20354,27,23.01,9.09
6,80,9.32,6,58,75,94,603,12571,7,23.15,8.47
7,68,6.0,2,65,72,94,592,11107,14,0.1,6.1
8,77,9.07,5,63,65,93,493,8402,1,0.14,9.21
9,78,9.11,7,65,70,92,1031,19581,15,23.42,8.53
10,55,5.25,7,62,76,93,871,19182,13,6.58,12.23
11,71,9.47,14,63,69,92,328,3604,1,1.59,11.46
12,63,8.37,10,62,67,92,232,2117,1,3.12,11.49
13,64,10.46,6,62,74,91,311,2219,0,1.23,12.09
14,65,6.0,14,54,62,93,333,2074,2,4.07,10.07
15,75,7.19,3,60,66,94,298,2181,0,23.27,6.46
16,74,8.5,12,58,63,92,354,3882,2,1.28,10.18
17,55,4.23,9,57,65,96,296,1903,0,2.09,6.32
18,73,8.08,6,67,61,94,239,1829,0,1.4,9.48
19,80,8.11,10,54,65,94,351,2600,1,1.5,10.01
20,85,7.46,22,47,64,93,292,1855,0,0.39,8.25
21,69,7.55,10,54,67,93,351,2943,0,2.33,10.28
22,76,9.08,15,58,63,94,351,2583,0,2.1,11.18
23,69,7.24,8,59,65,96,330,2900,0,2.57,10.21
24,75,12.16,19,48,61,95,318,1914,0,23.36,11.52
25,69,7.03,6,58,66,94,230,2042,0,1.55,8.58
26,69,10.5,8,59,65,94,566,10887,52,1.41,12.32
27,61,6.23,17,58,61,94,171,2105,0,3.29,9.53
28,80,8.54,15,52,64,94,312,2029,0,0.35,9.29
29,83,6.24,14,46,64,96,359,3364,0,23.58,6.22
30,86,6.44,17,58,66,94,490,7602,31,23.4,6.24
31,84,6.51,9,53,82,95,556,8753,46,23.31,6.22
32,68,5.59,6,62,76,95,553,10850,55,0.21,6.2
33,71,9.1,12,65,67,92,459,7664,34,1.23,10.33
34,71,8.58,26,50,68,93,271,1472,0,3.2,12.18
35,77,9.19,12,52,66,93,135,1317,0,0.57,10.16
36,64,9.45,8,59,68,93,449,3595,2,2.17,12.02
37,68,5.54,8,52,66,95,269,1650,0,0.27,6.21
38,79,6.13,15,58,63,96,486,7591,33,0.2,6.33
39,76,7.16,17,62,64,94,530,8348,43,1.1,8.01
40,85,8.09,11,49,64,94,594,10531,50,1.21,9.3
41,82,9.14,11,54,67,93,349,3210,10,1.32,10.46
43,83,6.26,18,51,65,93,142,1125,0,23.57,6.23
44,88,8.27,13,57,67,94,403,5355,12,23.55,8.22
46,84,7.06,13,62,72,95,387,5024,14,23.2,6.26
48,80,6.45,7,62,66,94,326,3447,1,23.46,6.31
49,80,10.54,8,53,66,92,300,3576,3,23.52,10.46
50,75,6.15,7,64,64,94,309,2278,1,0.06,6.21
51,86,6.26,14,49,68,93,376,3827,9,23.56,6.22
52,79,7.09,6,58,74,94,544,8323,38,23.14,6.23
53,86,7.33,5,61,70,93,428,6206,24,22.5,6.23
54,86,7.03,11,57,68,92,580,9967,26,23.21,6.24
55,70,6.0,13,56,77,93,388,4804,17,0.37,6.37
56,76,8.0,10,66,75,93,285,2277,0,01.19,09.19
57,74,6.18,6,59,65,94,322,3913,9,00.20,06.38
58,79,10.43,12,64,67,92,315,2039,0,00.57,11.40
59,71,6.57,10,59,64,94,290,2720,0,02.48,09.45
60,77,8.3,17,60,68,94,312,6847,24,00.27,09.01
61,81,5.53,9,55,77,94,637,11013,56,00.42,06.35
62,88,7.41,11,60,29,67,509,9486,28,00.20,08.01
63,72,9.13,8,63,74,95,151,1514,0,01.29,10.42
64,69,4.43,12,59,68,92,361,3718,11,01.40,06.23
65,71,5.55,9,64,64,95,425,6191,24,00.34,06.29
66,79,6.04,8,61,70,94,342,5381,26,00.23,06.27
67,83,7.48,8,56,68,95,455,8761,47,00.38,08.36
68,81,7.33,5,61,72,94,427,6668,29,23.03,06.36
69,94,7.54,11,60,70,95,434,6173,6,22.56,06.50
70,83,7.38,28,50,67,95,675,10597,46,00.56,08.34
71,78,6.4,10,56,71,96,474,7416,25,23.52,06.32
72,88,9.42,12,59,65,97,328,4749,17,23.59,09.41
73,82,10.41,9,49,66,96,364,5343,15,23.33,10.31
74,74,5.57,9,55,69,95,346,7139,29,00.46,06.43
75,82,6.05,3,55,72,94,445,6599,26,00.21,06.26
76,90,8.33,23,49,74,94,446,6570,13,00.31,07.13
77,76,8.5,8,62,67,93,298,2402,0,02.04,10.54
78,83,8.01,20,47,66,94,313,1694,0,00.20,08.21
79,72,10.48,9,57,63,93,340,2883,7,01.11,11.59
80,72,8.19,6,64,71,92,404,3510,9,02.54,11.13
81,76,9.36,9,56,64,93,228,1515,0,02.27,12.03
82,80,11.36,11,55,66,93,266,1965,0,23.17,10.53
83,72,8.04,9,54,63,94,179,1942,0,02.26,10.33
84,76,8.52,10,57,63,93,465,5574,1,02.01,10.53
85,83,8.55,8,63,64,92,244,1769,1,01.48,10.43
86,80,9.4,12,53,65,91,265,1603,4,02.22,12.02
87,77,9.02,8,57,66,93,510,4926,27,02.10,11.12
88,76,9.21,7,59,69,90,301,2172,0,02.38,11.59
89,71,9.01,6,65,67,93,376,3337,8,03.16,12.17
90,84,6.42,13,63,67,95,297,5790,1,23.53,06.35
